codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.999981666666667,0.0,0.0,-43.581355,,0.0,,1.511252237E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.830910000000003,4056.0,355A1,-43.32332833333333,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511252323E12
82536,-22.92454,0.0,0.0,-43.36995333333334,,31.1136,,1.511253331E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.883465,210.0,853V1,-43.493685000000006,ida,43.336800000000004,853V1 - VILA KENNEDY X MATO ALTO,1.511253359E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.915813333333336,236.0,890A1,-43.361115000000005,ida,0.3704,890A1 - TANQUE X TERMINAL ALVORADA,1.511253004E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.994956,0.0,0.0,-43.393976,,0.0,,1.51125232E12
30502,-23.01892,3626.0,18,-43.505515,ida,0.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511253355E12
12734,-22.868031666666667,3310.0,50,-43.41248,ida,25.0,50 - Terminal Olimpico x Jardim Oceânico ( Parador ),1.51125336E12
86861,-23.019123333333333,113.0,5802A1,-43.485885,volta,0.0,13- ALVORADA X  MATO ALTO ( EXPRESSO ),1.511253348E12
50035,-22.915661666666665,0.0,0.0,-43.42603666666667,,15.742,,1.51125325E12
47884,-22.920926666666666,116.0,610A1,-43.37152166666668,ida,14.0752,610A1 - BRT TANQUE X DEL CASTILHO,1.51125335E12
22024,-23.018335,4807.0,25,-43.508813333333336,ida,0.0,25 - MATO ALTO X J.OCEÂNICO,1.511253356E12
22058,-22.967993333333332,3901.0,827A1,-43.49411666666666,volta,2.5928,827A1 - VARGEM GRANDE X RECREIO,1.511252449E12
87562,-22.987845,107.0,5800A1,-43.60426833333333,volta,50.0,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),1.511253347E12
L 200 KXB-8909,-22.994714,0.0,0.0,-43.39372,,0.0,,1.511252741E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-22.999993333333332,120.0,5801A1,-43.58101333333333,ida,58.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511253348E12
