codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.920583333333333,106.0,5800A1,-43.60793666666667,ida,0.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511264515E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.837328333333335,4056.0,355A1,-43.257768333333324,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511264584E12
82536,-22.918333333333333,0.0,0.0,-43.39644166666667,,1.6668,,1.511264555E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.943075,226.0,855A1,-43.592618333333334,ida,21.8536,855A1 - BANGU X MAGARÇA,1.511264541E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.99524166666667,236.0,890A1,-43.35935333333334,ida,22.5944,890A1 - TANQUE X TERMINAL ALVORADA,1.511264547E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-23.013217,0.0,0.0,-43.458541,,0.0,,1.511264364E12
30502,-23.000965,3627.0,18,-43.36519833333333,volta,0.0,18 - JARDIM OCEÂNICO X RECREIO SHOPPING ( EXPRESSO ),1.511264201E12
12734,-23.008871666666668,3551.0,5850A1,-43.44032333333333,ida,0.0,51 - T. Recreio x Vila Militar (Parador),1.511264338E12
86861,-23.000903333333333,113.0,5802A1,-43.367175,volta,0.0,13- ALVORADA X  MATO ALTO ( EXPRESSO ),1.511264579E12
50035,-22.93286333333333,0.0,0.0,-43.38385833333332,,24.2612,,1.511264582E12
47884,-22.909041666666667,117.0,610A1,-43.315228333333316,volta,70.376,610A1 - DEL CASTILHO X BRT TANQUE,1.511264582E12
22024,-23.006785,4808.0,25,-43.313098333333336,volta,0.0,25 - J.OCEÂNICO X MATO ALTO,1.51126388E12
22058,-22.974289999999996,3900.0,827A1,-43.494170000000004,ida,22.779600000000002,827A1 - RECREIO X VARGEM GRANDE,1.511264558E12
87562,-23.00073,107.0,5800A1,-43.36586833333333,volta,0.0,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),1.511264351E12
L 200 KXB-8909,-23.000122,0.0,0.0,-43.345249,,0.0,,1.511264558E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.002178333333333,121.0,5801A1,-43.366929999999996,volta,0.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.51126413E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511264576E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.860388333333333,3551.0,5850A1,-43.329765,ida,0.0,51 - T. Recreio x Vila Militar (Parador),1.51126458E12
86850,-22.918046666666665,133.0,5805A1,-43.68378,volta,0.0,17- SANTA CRUZ X CAMPO GRANDE ( PARADOR ),1.511264567E12
75629,-22.864976666666667,4054.0,928A1,-43.34694833333333,ida,0.0,928A1 - RAMOS X MARECHAL HERMES (CIRCULAR),1.511264577E12
86805,-22.999858333333332,121.0,5801A1,-43.40538333333333,volta,52.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.511264578E12
