codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.999981666666667,0.0,0.0,-43.581355,,0.0,,1.511252237E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.830910000000003,4056.0,355A1,-43.32332833333333,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511252323E12
82536,-22.923360000000002,0.0,0.0,-43.374451666666666,,10.5564,,1.511253576E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.881154999999996,226.0,855A1,-43.51186833333333,ida,7.7784,855A1 - BANGU X MAGARÇA,1.511253577E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.915813333333336,236.0,890A1,-43.361115000000005,ida,0.3704,890A1 - TANQUE X TERMINAL ALVORADA,1.511253004E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.994956,0.0,0.0,-43.393976,,0.0,,1.51125232E12
30502,-23.0191,3626.0,18,-43.50579166666667,ida,0.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511253595E12
12734,-22.868031666666667,3310.0,50,-43.41248,ida,25.0,50 - Terminal Olimpico x Jardim Oceânico ( Parador ),1.5112536E12
86861,-23.017051666666667,113.0,5802A1,-43.51298833333333,volta,0.0,13- ALVORADA X  MATO ALTO ( EXPRESSO ),1.511253603E12
50035,-22.915661666666665,0.0,0.0,-43.42603666666667,,15.742,,1.51125325E12
47884,-22.923709999999996,116.0,610A1,-43.37202166666666,ida,0.5556,610A1 - BRT TANQUE X DEL CASTILHO,1.51125359E12
22024,-23.020598333333332,4807.0,25,-43.490825,ida,52.0,25 - MATO ALTO X J.OCEÂNICO,1.5112536E12
22058,-22.97749666666667,3901.0,827A1,-43.49320833333333,volta,2.5928,827A1 - VARGEM GRANDE X RECREIO,1.511253577E12
87562,-22.96874,107.0,5800A1,-43.62294333333333,volta,35.0,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),1.511253591E12
L 200 KXB-8909,-22.994714,0.0,0.0,-43.39372,,0.0,,1.511252741E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.008461666666665,120.0,5801A1,-43.541563333333336,ida,52.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511253603E12
