codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.999981666666667,0.0,0.0,-43.581355,,0.0,,1.511248636E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.830959999999997,4056.0,355A1,-43.32335166666665,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511248721E12
82536,-22.91559666666667,0.0,0.0,-43.42642833333333,,13.89,,1.511248842E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.893773333333336,325.0,871A1,-43.533408333333334,volta,0.0,871A1 - SEPETIBA X CESARÃO,1.511249138E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.998955000000002,236.0,890A1,-43.36378500000001,ida,54.634,890A1 - TANQUE X TERMINAL ALVORADA,1.511249139E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.994956,0.0,0.0,-43.393974,,0.0,,1.511247801E12
30502,-23.002496666666666,3626.0,18,-43.366045,ida,0.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511248018E12
12734,-22.866075,3310.0,50,-43.40920833333333,ida,64.0,50 - Terminal Olimpico x Jardim Oceânico ( Parador ),1.51124916E12
86861,-22.993423333333332,4331.0,000,-43.596963333333335,ida,0.0,SEM SERVIÇO - IDA,1.511249154E12
50035,-22.919148333333336,0.0,0.0,-43.402225,,17.9644,,1.511249147E12
47884,-22.95312333333333,116.0,610A1,-43.35031166666668,ida,0.0,610A1 - BRT TANQUE X DEL CASTILHO,1.511248843E12
22024,-23.000193333333332,0.0,0.0,-43.39616,,38.0,,1.511249147E12
22058,-23.018925,3901.0,827A1,-43.45944166666668,volta,43.8924,827A1 - VARGEM GRANDE X RECREIO,1.511249159E12
87562,-23.011673333333334,120.0,5801A1,-43.53193666666667,ida,58.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511249085E12
L 200 KXB-8909,-22.994714,0.0,0.0,-43.393718,,0.0,,1.511247577E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.00024833333333,121.0,5801A1,-43.378545,volta,27.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.511249151E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511249157E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.959908333333335,3310.0,50,-43.395515,ida,0.0,50 - Terminal Olimpico x Jardim Oceânico ( Parador ),1.511247949E12
86850,-22.907538333333335,133.0,5805A1,-43.56639166666667,volta,25.0,17- SANTA CRUZ X CAMPO GRANDE ( PARADOR ),1.511249151E12
75629,-22.830785,4056.0,355A1,-43.32381500000001,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511247982E12
86805,-23.011285,120.0,5801A1,-43.53297833333333,ida,55.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511249046E12
30187,-22.87928,0.0,0.0,-43.35707666666667,,0.5556,,1.511247629E12
50007,-22.96741666666667,0.0,0.0,-43.278335,,25.7428,,1.510748781E12
86347,-22.895776666666666,210.0,853V1,-43.533269999999995,ida,0.0,853V1 - VILA KENNEDY X MATO ALTO,1.510747718E12
47022,-23.00095333333333,0.0,0.0,-43.366238333333335,,0.0,,1.511249152E12
86801,-23.000023333333335,106.0,5800A1,-43.40790166666667,ida,22.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511249147E12
807925,-22.975271666666668,0.0,0.0,-43.36711,,0.0,,1.503587722E12
854296,-22.975238333333333,0.0,0.0,-43.36714,,0.0,,1.503350913E12
10016,-22.902473333333333,0.0,0.0,-43.18197666666668,,0.0,,1.511249158E12
30536,-22.856335,146.0,5704A1,-43.256205,ida,45.0,36 - FUNDÃO X ALVORADA ( EXPRESSO ),1.511249148E12
816633,-22.975118333333334,0.0,0.0,-43.36707666666667,,0.0,,1.503069023E12
22005,-23.00016,4809.0,21A,-43.41267833333333,ida,36.0,21A - RECREIO SHOPPING X JO (PARADOR),1.511249148E12
86845,-22.982325,0.0,0.0,-43.609415,,60.0,,1.511249144E12
86859,-22.964866666666666,0.0,0.0,-43.647373333333334,,0.0,,1.511249153E12
816748,-22.97536,0.0,0.0,-43.36712833333333,,0.0,,1.503507623E12
53665,-22.88426166666666,0.0,0.0,-43.49488833333333,,1.2964,,1.492602669E12
13405,-22.957561666666667,3543.0,5707A1,-43.38051,volta,48.0,41 - Terminal Madureira x Terminal Recreio  (Expresso),1.511249147E12
13423,-22.87963166666667,3551.0,5850A1,-43.3571,ida,0.0,51 - T. Recreio x Vila Militar (Parador),1.511100039E12
856398,-22.97531,0.0,0.0,-43.367113333333336,,0.0,,1.502981431E12
87567,-22.916591666666665,128.0,5804A1,-43.631971666666665,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.511249145E12
86831,-22.96554666666667,4807.0,25,-43.64777,ida,0.0,25 - MATO ALTO X J.OCEÂNICO,1.51124916E12
12717,-22.96258,3551.0,5850A1,-43.39340333333333,ida,52.0,51 - T. Recreio x Vila Militar (Parador),1.511249156E12
30045,-22.923506666666672,4331.0,000,-43.36909166666668,ida,24.8168,SEM SERVIÇO - IDA,1.511249147E12
12710,-22.839248333333334,3815.0,40,-43.240026666666665,ida,0.0,40 - MADUREIRA X JARDIM OCEÂNICO ( EXPRESSO ),1.511248952E12
86150,-22.894886666666668,392.0,916A1,-43.532801666666664,ida,0.0,916A1 - MADUREIRA - BONSUCESSO,1.511249146E12
82526,-22.86831833333333,0.0,0.0,-43.36581833333333,,37.5956,,1.505118733E12
75508,-22.830795,0.0,0.0,-43.32400166666666,,0.0,,1.509758134E12
366898,-23.19164166666667,0.0,0.0,-45.879981666666666,,0.0,,1.504703359E12
50307,-22.94103,4050.0,42,-43.37265333333333,volta,0.0,42 -  DIVINA PROVIDÊNCIA X FUNDÃO(PARADOR),1.511249108E12
86864,-23.011523333333333,138.0,020,-43.53232333333333,ida,60.0,16 - CAMPO GRANDE X SALVADOR ALLENDE ( PARADOR ),1.511248758E12
86833,-22.9132,132.0,5805A1,-43.595483333333334,ida,24.0,17- CAMPO GRANDE X SANTA CRUZ ( PARADOR ),1.511249161E12
