codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.999981666666667,0.0,0.0,-43.581355,,0.0,,1.511248636E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.830959999999997,4056.0,355A1,-43.32335166666665,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511248721E12
82536,-22.91727,0.0,0.0,-43.41285166666667,,38.7068,,1.511249977E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.893755000000002,325.0,871A1,-43.53337666666666,volta,0.1852,871A1 - SEPETIBA X CESARÃO,1.51124998E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-23.001578333333335,237.0,890A1,-43.366744999999995,volta,0.0,890A1 - TERMINAL ALVORADA X TANQUE,1.511249979E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.994956,0.0,0.0,-43.393974,,0.0,,1.511249601E12
30502,-23.002346666666668,3626.0,18,-43.366655,ida,16.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511249979E12
12734,-22.963476666666665,3310.0,50,-43.39404,ida,15.0,50 - Terminal Olimpico x Jardim Oceânico ( Parador ),1.511249964E12
86861,-23.01119,112.0,5802A1,-43.53397,ida,59.0,13 - MATO ALTO X ALVORADA ( EXPRESSO ),1.511249896E12
50035,-22.94127,0.0,0.0,-43.38426333333334,,32.2248,,1.511249972E12
47884,-22.951608333333336,116.0,610A1,-43.349238333333325,ida,7.2228,610A1 - BRT TANQUE X DEL CASTILHO,1.511249959E12
22024,-23.015078333333335,0.0,0.0,-43.47006833333333,,59.0,,1.511249968E12
22058,-23.008208333333332,3900.0,827A1,-43.44109500000001,ida,2.778,827A1 - RECREIO X VARGEM GRANDE,1.511249512E12
87562,-23.009141666666668,120.0,5801A1,-43.44575666666667,ida,51.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511249965E12
L 200 KXB-8909,-22.994714,0.0,0.0,-43.393718,,0.0,,1.511249386E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.015086666666665,121.0,5801A1,-43.46983,volta,58.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.51124997E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511249977E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.959908333333335,3310.0,50,-43.395515,ida,0.0,50 - Terminal Olimpico x Jardim Oceânico ( Parador ),1.511249749E12
86850,-22.901836666666668,132.0,5805A1,-43.554645,ida,0.0,17- CAMPO GRANDE X SANTA CRUZ ( PARADOR ),1.511249977E12
75629,-22.830808333333334,4056.0,355A1,-43.32380499999999,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.51124979E12
86805,-23.008393333333334,120.0,5801A1,-43.44287666666666,ida,0.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511249977E12
30187,-22.87931,0.0,0.0,-43.35706999999999,,0.0,,1.511249443E12
50007,-22.96741666666667,0.0,0.0,-43.278335,,25.7428,,1.510748781E12
86347,-22.895776666666666,210.0,853V1,-43.533269999999995,ida,0.0,853V1 - VILA KENNEDY X MATO ALTO,1.510747718E12
47022,-23.002513333333333,0.0,0.0,-43.365845,,0.0,,1.511249754E12
86801,-23.000426666666666,107.0,5800A1,-43.387816666666666,volta,18.0,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),1.511249965E12
807925,-22.975271666666668,0.0,0.0,-43.36711,,0.0,,1.503587722E12
854296,-22.975238333333333,0.0,0.0,-43.36714,,0.0,,1.503350913E12
10016,-22.893984999999997,0.0,0.0,-43.214001666666654,,0.5556,,1.511249969E12
30536,-22.855076666666665,146.0,5704A1,-43.323503333333335,ida,0.0,36 - FUNDÃO X ALVORADA ( EXPRESSO ),1.511249967E12
816633,-22.975118333333334,0.0,0.0,-43.36707666666667,,0.0,,1.503069023E12
22005,-23.000021666666665,4809.0,21A,-43.35964833333333,ida,45.0,21A - RECREIO SHOPPING X JO (PARADOR),1.511249973E12
86845,-22.982325,0.0,0.0,-43.609415,,60.0,,1.511249964E12
86859,-22.964866666666666,0.0,0.0,-43.647373333333334,,0.0,,1.511249973E12
816748,-22.97536,0.0,0.0,-43.36712833333333,,0.0,,1.503507623E12
53665,-22.88426166666666,0.0,0.0,-43.49488833333333,,1.2964,,1.492602669E12
13405,-23.00839,3542.0,5707A1,-43.44068166666667,ida,14.0,41 - Recreio x Terminal Madureira (Expresso),1.511249976E12
13423,-22.87963166666667,3551.0,5850A1,-43.3571,ida,0.0,51 - T. Recreio x Vila Militar (Parador),1.511100039E12
856398,-22.97531,0.0,0.0,-43.367113333333336,,0.0,,1.502981431E12
87567,-22.916596666666667,128.0,5804A1,-43.63202666666667,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.511249972E12
86831,-22.96618,4807.0,25,-43.64519333333333,ida,0.0,25 - MATO ALTO X J.OCEÂNICO,1.511249966E12
12717,-22.87818,3552.0,5850A1,-43.40149666666667,volta,62.0,51 - Vila Militar x T. Recreio (Parador),1.511249976E12
30045,-22.914696666666668,4331.0,000,-43.38098,ida,0.0,SEM SERVIÇO - IDA,1.511249952E12
12710,-22.857315,3815.0,40,-43.25705833333333,ida,0.0,40 - MADUREIRA X JARDIM OCEÂNICO ( EXPRESSO ),1.511249973E12
86150,-22.894846666666663,392.0,916A1,-43.532810000000005,ida,0.0,916A1 - MADUREIRA - BONSUCESSO,1.511249967E12
82526,-22.86831833333333,0.0,0.0,-43.36581833333333,,37.5956,,1.505118733E12
75508,-22.830795,0.0,0.0,-43.32400166666666,,0.0,,1.509758134E12
366898,-23.19164166666667,0.0,0.0,-45.879981666666666,,0.0,,1.504703359E12
50307,-22.944168333333334,4050.0,42,-43.372115,volta,36.0,42 -  DIVINA PROVIDÊNCIA X FUNDÃO(PARADOR),1.511249964E12
86864,-23.011523333333333,138.0,020,-43.53232333333333,ida,60.0,16 - CAMPO GRANDE X SALVADOR ALLENDE ( PARADOR ),1.511248758E12
86833,-22.934821666666668,132.0,5805A1,-43.665625,ida,25.0,17- CAMPO GRANDE X SANTA CRUZ ( PARADOR ),1.511249968E12
