codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.999981666666667,0.0,0.0,-43.581355,,0.0,,1.511246838E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.830959999999997,4056.0,355A1,-43.323331666666675,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.51124692E12
82536,-22.89899833333333,0.0,0.0,-43.38839500000001,,58.708400000000005,,1.511247896E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.893684999999998,325.0,871A1,-43.53343666666667,volta,0.0,871A1 - SEPETIBA X CESARÃO,1.511247879E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.924946666666663,236.0,890A1,-43.36003000000001,ida,0.0,890A1 - TANQUE X TERMINAL ALVORADA,1.511247868E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.994956,0.0,0.0,-43.393974,,0.0,,1.511246001E12
30502,-23.002496666666666,3626.0,18,-43.366045,ida,0.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511246218E12
12734,-22.959458333333334,3310.0,50,-43.39212166666667,ida,61.0,50 - Terminal Olimpico x Jardim Oceânico ( Parador ),1.51124788E12
86861,-22.965198333333333,4331.0,000,-43.58950333333333,ida,49.0,SEM SERVIÇO - IDA,1.511247885E12
50035,-22.915645,0.0,0.0,-43.42662833333334,,16.668,,1.511246971E12
47884,-22.95318333333333,116.0,610A1,-43.35030833333334,ida,0.0,610A1 - BRT TANQUE X DEL CASTILHO,1.511247037E12
22024,-23.006426666666666,0.0,0.0,-43.31349,,0.0,,1.511247885E12
22058,-22.978388333333335,3901.0,827A1,-43.49253166666667,volta,26.854,827A1 - VARGEM GRANDE X RECREIO,1.511247898E12
87562,-22.951248333333332,120.0,5801A1,-43.65047833333333,ida,29.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511247885E12
L 200 KXB-8909,-22.994714,0.0,0.0,-43.393718,,0.0,,1.511247577E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.01341,120.0,5801A1,-43.46253333333333,ida,36.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511247888E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511247896E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.959908333333335,3310.0,50,-43.395515,ida,0.0,50 - Terminal Olimpico x Jardim Oceânico ( Parador ),1.511246149E12
86850,-22.933566666666668,133.0,5805A1,-43.66229166666667,volta,30.0,17- SANTA CRUZ X CAMPO GRANDE ( PARADOR ),1.511247886E12
75629,-22.830808333333334,4056.0,355A1,-43.323853333333346,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511247837E12
86805,-22.966476666666665,120.0,5801A1,-43.64400833333333,ida,34.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511247891E12
30187,-22.87928,0.0,0.0,-43.35707666666667,,0.5556,,1.511247629E12
50007,-22.96741666666667,0.0,0.0,-43.278335,,25.7428,,1.510748781E12
86347,-22.895776666666666,210.0,853V1,-43.533269999999995,ida,0.0,853V1 - VILA KENNEDY X MATO ALTO,1.510747718E12
47022,-23.00095333333333,0.0,0.0,-43.366238333333335,,0.0,,1.511247613E12
86801,-23.00207,106.0,5800A1,-43.57208833333333,ida,59.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511247896E12
807925,-22.975271666666668,0.0,0.0,-43.36711,,0.0,,1.503587722E12
854296,-22.975238333333333,0.0,0.0,-43.36714,,0.0,,1.503350913E12
10016,-22.878488333333333,0.0,0.0,-43.24102,,30.1876,,1.511247884E12
30536,-22.838995,146.0,5704A1,-43.240255,ida,0.0,36 - FUNDÃO X ALVORADA ( EXPRESSO ),1.511247884E12
816633,-22.975118333333334,0.0,0.0,-43.36707666666667,,0.0,,1.503069023E12
22005,-23.019518333333334,4809.0,21A,-43.504685,ida,37.0,21A - RECREIO SHOPPING X JO (PARADOR),1.511247881E12
86845,-22.982325,0.0,0.0,-43.609415,,60.0,,1.511247884E12
