codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.92059,106.0,5800A1,-43.607863333333334,ida,0.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511266315E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.89520333333333,4056.0,355A1,-43.19961999999999,ida,15.3716,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511266762E12
82536,-22.954971666666665,0.0,0.0,-43.39001333333332,,26.6688,,1.511266754E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.954205,227.0,855A1,-43.60964166666666,volta,25.5576,855A1 - MAGARÇA X BANGU,1.511266764E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-23.00024166666667,237.0,890A1,-43.35714333333332,volta,23.8908,890A1 - TERMINAL ALVORADA X TANQUE,1.511266761E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-23.000629,0.0,0.0,-43.375793,,0.0,,1.511266744E12
30502,-23.000965,3627.0,18,-43.36519833333333,volta,0.0,18 - JARDIM OCEÂNICO X RECREIO SHOPPING ( EXPRESSO ),1.511264201E12
12734,-23.008811666666666,3551.0,5850A1,-43.440308333333334,ida,0.0,51 - T. Recreio x Vila Militar (Parador),1.511266497E12
86861,-23.01618,0.0,0.0,-43.47422,,60.0,,1.51126677E12
50035,-22.929244999999998,0.0,0.0,-43.373855000000006,,0.0,,1.511266753E12
47884,-22.91547166666667,116.0,610A1,-43.360841666666666,ida,0.0,610A1 - BRT TANQUE X DEL CASTILHO,1.511266689E12
22024,-23.005491666666668,4808.0,25,-43.432408333333335,volta,63.0,25 - J.OCEÂNICO X MATO ALTO,1.511266756E12
22058,-23.015079999999998,3901.0,827A1,-43.46814333333334,volta,35.9288,827A1 - VARGEM GRANDE X RECREIO,1.51126674E12
87562,-23.00073,107.0,5800A1,-43.36586833333333,volta,0.0,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),1.511266151E12
L 200 KXB-8909,-23.00053,0.0,0.0,-43.375686,,0.0,,1.511266746E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.002178333333333,121.0,5801A1,-43.366929999999996,volta,0.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.511265929E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511266676E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.854311666666668,3551.0,5850A1,-43.251731666666664,ida,0.0,51 - T. Recreio x Vila Militar (Parador),1.51126616E12
